morazan_reforms;Morazan's Liberal Reformation;;;;;;;;;;;;;x
morazan_reforms_desc;Radical anticlerical, legal, and educational reforms introduced by President Francisco Morazan to modernize Central American society.;;;;;;;;;;;;;x
EVTNAME1003600;The Federal Rupture;;;;;;;;;;;;;x
EVTDESC1003600;Elected to the federal presidency with liberal support, Manuel Jose Arce has executed a stunning reversal. Aligning himself with the conservative Aycinena aristocracy and the Catholic hierarchy in Guatemala City, Arce has unconstitutionally dissolved the Federal Congress and arrested liberal governors in the provinces. The liberals of El Salvador and Honduras refuse to bow to this executive usurpation, and armed regiments are assembling on both sides.;;;;;;;;;;;;;x
EVTOPTA1003600;Arce will enforce federal obedience with the bayonet!;;;;;;;;;;;;;x
EVTOPTB1003600;Attempt a compromise with the indignant provincial deputies.;;;;;;;;;;;;;x
EVTNAME1003601;The Rise of Francisco Morazan;;;;;;;;;;;;;x
EVTDESC1003601;In response to Arce's military aggression, the state governments of Honduras and El Salvador have raised the standard of constitutional resistance. A thirty-five-year-old Honduran liberal of dazzling military talent, Francisco Morazan, has mobilized the 'Ejercito Protector de la Ley'. At the Battle of La Trinidad, Morazan's volunteers routed the federal army, electrifying liberals across all five states of the union.;;;;;;;;;;;;;x
EVTOPTA1003601;The southern rebel is marching toward the capital!;;;;;;;;;;;;;x
EVTNAME1003602;The Fall of Guatemala City;;;;;;;;;;;;;x
EVTDESC1003602;Following a protracted siege, Morazan's victorious army has entered Guatemala City. Arce has been deposed and clapped in irons. In an uncompromising display of revolutionary firmness, Morazan has dismantled the conservative oligarchy, confiscated the estates of the religious orders, and marched the reactionary Archbishop Ramon Casaus y Torres to the coast under armed guard into permanent exile in Cuba. The liberal constitution reigns supreme.;;;;;;;;;;;;;x
EVTOPTA1003602;The law and the constitution have triumphed over despotism!;;;;;;;;;;;;;x
EVTNAME1003603;Morazan's Liberal Reforms;;;;;;;;;;;;;x
EVTDESC1003603;Having transferred the federal capital to liberal San Salvador, President Morazan has launched the most ambitious modernisation program in the history of the isthmus. His administration has abolished compulsory church tithes, established freedom of worship, legalized civil marriage and divorce, instituted trial by jury under the Livingston Code, and chartered secular schools and British commercial enterprises across the republic.;;;;;;;;;;;;;x
EVTOPTA1003603;Enlighten the republic through sweeping legal and civil reform.;;;;;;;;;;;;;x
EVTOPTB1003603;Moderate the pace of reform to avoid alienating the peasantry.;;;;;;;;;;;;;x
EVTNAME1003604;The Cholera Outbreak and Carrera's Revolt;;;;;;;;;;;;;x
EVTDESC1003604;The second Asiatic cholera pandemic has struck Central America with terrifying fury. When government physicians attempted to disinfect municipal wells and enforce quarantines, parish priests whispered to the terrified indigenous and mestizo population that the foreign-loving liberals were poisoning water sources to destroy the native race. An illiterate former swineherd, Rafael Carrera, has raised the indigenous peasantry of eastern Guatemala under the fanatic cry: 'Viva la religion y mueran los extranjeros!';;;;;;;;;;;;;x
EVTOPTA1003604;Carrera's peasant horde is sweeping through the highlands!;;;;;;;;;;;;;x
EVTNAME1003605;The Disintegration of the Federal Republic;;;;;;;;;;;;;x
EVTDESC1003605;Carrera's peasant army has occupied Guatemala City, slaughtering liberal officials and reinstating the old order. In San Salvador, the beleaguered Federal Congress has passed its tragic final decree: 'The states are free to constitute themselves as independent republics.' Nicaragua, Honduras, and Costa Rica have formally severed all ties to the union. Morazan's noble dream of a united Central American nation lies in ruins.;;;;;;;;;;;;;x
EVTOPTA1003605;The federal union is dead - let the states go their separate ways.;;;;;;;;;;;;;x
EVTOPTB1003605;Morazan will fight to the last ditch in San Salvador!;;;;;;;;;;;;;x
